"first_name","last_name"
"Tomas","Alfredson"
"Paul","Anderson"
"Wes","Anderson"
"Richard","Ayoade"
"Luc","Besson"
"James","Cameron"
"Guillermo","del Toro"
"Victor","Fleming"
"Francis","Ford Coppola"
"Kinji","Fukasaku"
"Florian ","Henckel von Donnersmarck"
"Terry","Jones"
"Stanley","Kubrick"
"John","Lasseter"
"Ang","Lee"
"Bruce","Lee"
"George","Lucas"
"Martin","McDonagh"
"James","McTeigue"
"Fernando","Meirelles"
"Hayao ","Miyazaki"
"Paulo","Morelli"
"Chan-wook","Park"
"Sam","Raimi"
"Mark","Romanek"
"Martin","Scorsese"
"Ridley","Scott"
"Tony","Scott"
"Zack","Snyder"
"Sion","Sono"
"Steven","Spielberg"
"Robert","Stevenson"
"Quentin","Tarantino"
"Robert","Wise"
"Kar Wai","Wong"
"Robert","Zemeckis"
"Yimou","Zhang"
