"actor_id","first_name","last_name","gender","date_of_birth"
8,"Adrien","Brody","M","1973-04-14"
11,"Chen","Chang","M","1976-10-14"
18,"Paddy","Considine","M","1973-09-05"
24,"Darlan","Cunha","M","1988-07-26"
26,"Paul","Dano","M","1984-06-19"
30,"Leonardo","DiCaprio","M","1974-11-11"
32,"Hiroki","Doi","M","1999-08-10"
36,"Leandro","Firmino","M","1978-06-23"
40,"James","Franco","M","1978-04-19"
41,"Dillon","Freasier","M","1996-03-06"
42,"Tatsuya","Fujiwara","M","1982-05-15"
45,"Mason","Gamble","M","1986-01-16"
47,"Andrew","Garfield","M","1983-08-20"
60,"Kare","Hedebrant","M","1995-06-28"
65,"Miyu","Irino","M","1988-02-19"
70,"Takeshi","Kaneshiro","M","1973-10-11"
80,"Jude","Law","M","1972-12-29"
86,"Danny","Lloyd","M","1972-10-13"
89,"Tobey","Maguire","M","1975-06-27"
108,"Joaquin","Phoenix","M","1974-10-28"
113,"Tony","Revolori","M","1996-04-28"
114,"Craig","Roberts","M","1991-01-21"
116,"Alexandre","Rodrigues","M","1983-05-21"
119,"Jason","Schwartzmann","M","1980-06-26"
120,"Suraj","Sharma","M","1993-03-21"
122,"Douglas","Silva","M","1988-09-27"
124,"Rafe","Spall","M","1983-03-10"
130,"Chris","Tucker","M","1971-08-31"
136,"Luke","Wilson","M","1971-09-21"
138,"Patrick","Wilson","M","1973-07-03"
143,"Ji-tae","Yoo","M","1976-04-13"
