"movie_name","age_certificate","movie_length"
"Crouching Tiger Hidden Dragon","12",139
"House of Flying Daggers","12",134
"Jaws","12",134
"The Fifth Element","12",149
"V for Vendetta","12",140
"Watchmen","12",138
"Titanic","12",143
"Apocalypse Now","15",168
"City of Men","15",140
"Gladiator","15",165
"Goodfellas","15",148
"The Lives of Others","15",165
"There Will Be Blood","15",168
"Raging Bull","18",132
"Eyes Wide Shut","18",130
"The Shining","18",126
"City of God","18",145
"Oldboy","18",130
"Life of Pi","PG",129
"Star Wars: A New Hope","PG",123
"Star Wars: Empire Strikes Back","PG",150
"Star Wars: Return of the Jedi","PG",139
"Gone with the Wind","PG",123
"Ponyo","U",107
"Spirited Away","U",120
"The Wizard of Oz","U",120
